creaming,[CREAMING PROCESS],,,,,,,,,,
crumbled,[CRUMBLING PROCESS],,,,,,,,,,
crumbling,[CRUMBLING PROCESS],,,,,,,,,,
crushed,[CRUSHING PROCESS],,,,,,,,whipping,whipped,[WHIPPING PROCESS]
crushing,[CRUSHING PROCESS],,,,,,,,producing,production,[PRODUCTION PROCESS]
crystallized,[CRYSTALLIZING PROCESS],,,acid reduction process,associated,alpaca,bearded,,applying,applied,[APPLYING PROCESS]
crystallizing,[CRYSTALLIZING PROCESS],,,acidified,assorted,amber,brantum,,aspirating,aspirate,[ASPIRATION PROCESS]
cultured,[CULTURING PROCESS],,,alcohol fermentation process,bagged,applied,broccoli,,assorting,assorted,[ASSORTING PROCESS]
culturing,[CULTURING PROCESS],,,alcohol removal process,baked,associated,caecum,,bagging,bagged,[BAGGING PROCESS]
curried,[CURRYING PROCESS],,,alcohol-acetic acid fermentation process,basted,assorted,cani,,baking,baked,[BAKING PROCESS]
currying,[CURRYING PROCESS],,,alcoholated,blend,bagged,caprine,,basting,basted,[BASTING PROCESS]
deboned,[DEBONING PROCESS],,,alkaloid or purine removal process,boiled,baked,cecum,,blending,blend,[BLENDING PROCESS]
deboning,[DEBONING PROCESS],,,animal fat or oil added,breaded,basted,cincho,,cheeking,cheeked,[CHEEKING PROCESS]
deprived,[DEPRIVING PROCESS],,,animal fat or oil coated,broiled,batum,,,chopping,chopped,[CHOPPING PROCESS]
depriving,[DEPRIVING PROCESS],,,artificial chocolate flavoring added,cheeked,bearded,colon,,clawing,clawed,[CLAWING PROCESS]
desiccated,[DESICATING PROCESS],,,artificial fruit flavoring added,chopped,bedding,colostrum,,cleaning,clean,[CLEANING PROCESS]
desiccating,[DESICATING PROCESS],,,artificial heat drying,clawed,bele,condensed,,,,
deveined,[DEVEINING PROCESS],,,artificially carbonated,cleaned,blend,,,coating,coated,[COATING PROCESS]
deveining,[DEVEINING PROCESS],,,artificially sweetened fruit jelly added,coated,blood,cottonseed,,comminuting,comminuted,[COMMINUTING PROCESS]
diced,[DICING PROCESS],,,aseptic filling and sealing,comminuted,boiled,cuniculu,,condensing,condensed,[CONDENSING PROCESS]
dicing,[DICING PROCESS],,,autotrophy,cooked,bos,cut,,cracking,cracked,[CRACKING PROCESS]
diluted,[DILUTING PROCESS],,,bacteria curing process,cracked,brantum,desicated,,crushing,crushed,[CRUSHING PROCESS]
diluting,[DILUTING PROCESS],,,barley malt added,crushed,breaded,desiccated,,currying,curried,[CURRYING PROCESS]
dressing,[DRESSING PROCESS],,,biological_process,curried,broccoli,ditch,,deboning,deboned,[DEBONING PROCESS]
extruded,[EXTRUDING PROCESS],,,blind baking,deboned,broiled,domesticu,,depriving,deprived,[DEPRIVING PROCESS]
extruding,[EXTRUDING PROCESS],,,boiling,dehydrated,caecum,drag,,desicating,desicated,[DESICATING PROCESS]
flagellated,[FLAGELLATING PROCESS],,,boiling and then draining,deprived,cake,eat,,deveining,deveined,[DEVEINING PROCESS]
flagellating,[FLAGELLATING PROCESS],,,boiling in large amount of liquid,deveined,camel,egusi,,dicing,diced,[DICING PROCESS]
flatwhiskered,[FLATWHISKERING PROCESS],,,boiling in small amount of liquid,diced,cani,farmed,,dressing,dressing,[DRESSING PROCESS]
flatwhiskering,[FLATWHISKERING PROCESS],,,boiling without draining,dried,caprine,,,extruding,extruded,[EXTRUDING PROCESS]
foodtoasted,[FOODTOASTING PROCESS],,,breaded or batter-coated,extruded,carcass,gecko,,flagellating,flagellated,[FLAGELLATING PROCESS]
foodtoasting,[FOODTOASTING PROCESS],,,broiling or grilling,fermenting,cat,gekko,,flatwhiskering,flatwhiskered,[FLATWHISKERING PROCESS]
forming,[FORMING PROCESS],,,butter added,filled,caught,,,foodtoasting,foodtoasted,[FOODTOASTING PROCESS]
four-fingered,[FOUR-FINGERING PROCESS],,,caffeine added,flatwhiskered,cecum,,,forming,forming,[FORMING PROCESS]
four-fingering,[FOUR-FINGERING PROCESS],,,calcium added,flavored,cheeked,haden,,four-fingering,four-fingered,[FOUR-FINGERING PROCESS]
fried,[FRYING PROCESS],,,candying process,fried,chew,heifer,,frilling,frilled,[FRILLING PROCESS]
frilled,[FRILLING PROCESS],,,canola or rapeseed oil added,frilled,chicken,hlso,,frying,fried,[FRYING PROCESS]
frilling,[FRILLING PROCESS],,,caramelized sugar added,frozen,chili,ileum,,generating,generated,[GENERATING PROCESS]
fry,[FRYING PROCESS],,,carbohydrate fermentation process,generated,chopped,king,,grating,grated,[GRATING PROCESS]
frying,[FRYING PROCESS],,,carbohydrate removal process,grated,cincho,kingfish,,grounding,ground,[GROUNDING PROCESS]
generated,[GENERATING PROCESS],,,carbonated,grilled,clawed,lama,,gutting,gutted,[GUTTING PROCESS]
generating,[GENERATING PROCESS],,,carbonated by fermentation,huiled,cleaned,lecithin,,huiling,huiled,[HUILING PROCESS]
granulated,[GRANULATING PROCESS],,,carboxymethyl cellulose added,hulled,climbing,loligo,,hulling,hulled,[HULLING PROCESS]
granulating,[GRANULATING PROCESS],,,carnivory,hydrolyzed,coated,made,,isolating,isolated,[ISOLATING PROCESS]
grated,[GRATING PROCESS],,,carob added,imported,colon,med,,reisolating,reisolated,[ISOLATING PROCESS]
grating,[GRATING PROCESS],,,carob coating or covering process,intestine,colostrum,,,laying,laid,[LAYING PROCESS]
ground,[GROUNDING PROCESS],,,cellular metabolic process,isolated,comminuted,murine,,marinating,marinated,[MARINATING PROCESS]
grounding,[GROUNDING PROCESS],,,cellular process,laying,condensed,ovi,,mincing,minced,[MINCING PROCESS]
gutted,[GUTTING PROCESS],,,cellular respiration,marinated,cooked,,,mixing,mixed,[MIXING PROCESS]
gutting,[GUTTING PROCESS],,,cellulose added,milled,cooking,placentum,,packaging,packaged,[PACKAGING PROCESS]
heated,[HEATING PROCESS],,,cellulose added,minced,cottonseed,pogona,,,,
heating,[HEATING PROCESS],,,cellulose derivative added,mixed,cracked,primigeniu,,packing,packed,[PACKING PROCESS]
huiled,[HUILING PROCESS],,,certified color added,necked,crushed,rawhide,,pooling,pooled,[POOLING PROCESS]
huiling,[HUILING PROCESS],,,charcoal broiling,ocellated,cuniculu,rohu,,powdering,powdered,[POWDERING PROCESS]
hulled,[HULLING PROCESS],,,chemical leavening agent added,opened,curried,ruman,,pre-cooking,pre-cooked,[PRE-COOKING PROCESS]
hulling,[HULLING PROCESS],,,chloride added,packaged,cut,saging,,preparing,prepared,[PREPARING PROCESS]
isolated,[ISOLATING PROCESS],,,chocolate coating or covering process,packed,dairy,salut,,processing,processed,[PROCESSING]
isolating,[ISOLATING PROCESS],,,chocolate or cocoa added,pasteurized,deboned,sampling,,roasting,roasted,[ROASTING PROCESS]
laid,[LAYING PROCESS],,,chromium added,pasturized,dehydrated,scallop,,rubbing,rubbed,[RUBBING PROCESS]
laying,[LAYING PROCESS],,,clotting enzyme addition process,peeled,deprived,shad,,salting,salted,[SALTING PROCESS]
leaned,[LEANING PROCESS],,,color added,pickling,desicated,shed,,scaling,scaled,[SCALING PROCESS]
leaning,[LEANING PROCESS],,,component removal process,pooled,desiccated,sing,,seasoning,seasoned,[SEASONING PROCESS]
marinated,[MARINATING PROCESS],,,component substitution process,powdered,deveined,solid,,seasoning,seasoning,[SEASONING PROCESS]
marinating,[MARINATING PROCESS],,,concentration by reverse osmosis,processed,diced,spain,,shaking,shake,[SHAKING PROCESS]
mashed,[MASHING PROCESS],,,cooked by popping,raw,ditch,specified,,shelling,shelled,[SHELLING PROCESS]
mashing,[MASHING PROCESS],,,cooking by braising,reisolated,domesticu,spotted,,shoildrying,shoildried,[SHOILDRYING PROCESS]
minced,[MINCING PROCESS],,,cooking by dry heat,reticulated,drag,spread,,shredding,shredded,[SHREDDING PROCESS]
mincing,[MINCING PROCESS],,,cooking by microwave,roasted,dried,,,slicing,sliced,[SLICING PROCESS]
mixed,[MIXING PROCESS],,,cooking by moist heat,rubbed,drink,sting,,specifying,specified,[SPECIFYING PROCESS]
mixing,[MIXING PROCESS],,,cooking by simmering,salted,duck,string,,speckling,speckled,[SPECKLING PROCESS]
packaged,[PACKAGING PROCESS],,,cooking in container immersed in water or steam,scaled,duckling,tahini,,sprouting,sprouted,[SPROUTING PROCESS]
packaging,[PACKAGING PROCESS],,,cooking in double boiler,seasoned,dumpling,thorax,,squeezing,squeezed,[SQUEEZING PROCESS]
packed,[PACKING PROCESS],,,cooking in small amount of fat or oil,shake,ear,used,,striping,striped,[STRIPING PROCESS]
packing,[PACKING PROCESS],,,cooking in steam,shelled,eat,uteru,,,,
pooled,[POOLING PROCESS],,,cooking in water bath,shredded,egusi,winneckei,,swabbing,swabbing,[SWABBING PROCESS]
pooling,[POOLING PROCESS],,,cooking in water or water-based liquid,sliced,extruded,,,textering,textered,[TEXTERING PROCESS]
powdered,[POWDERING PROCESS],,,cooking using heating container,smoked,eyed,,,wrapping,wrapped,[WRAPPING PROCESS]
powdering,[POWDERING PROCESS],,,cooking with added fat or oil,speckled,farmed,,,boiling,boiled,[boiling-FOODON_03450014]
pre-cooked,[PRE-COOKING PROCESS],,,cooking with fat or oil,spiced,feces,,,breading,breaded,[breaded or batter-coated-FOODON_03460188]
pre-cooking,[PRE-COOKING PROCESS],,,cooking with inherent fat or oil,sprouted,fed,,,broiling,broiled,[BROILING PROCESS-FOODON_03450006]
prepared,[PREPARING PROCESS],,,copper added,squeezed,feed,,,chilliing,,[CHILLIING PROCESS-FOODON_03470131]
preparing,[PREPARING PROCESS],,,corn syrup added,steamed,fermenting,,,cooking,cooked,[COOKING PROCESS-FOODON_03450002]
processed,[PROCESSING],,,curing or aging 1 to 2 months,striped,filled,,,,,
processing,[PROCESSING],,,curing or aging 12 months or over,stuffed,fingered,,,dehydrating,dehydrated,[DEHYDRATING PROCESS-FOODON_03470116]
producing,[PRODUCTION PROCESS],,,curing or aging 2 to 4 months,swabbing,fish,,,drying,dried,[DRYING PROCESS-FOODON_03470116]
production,[PRODUCTION PROCESS],,,curing or aging 2 weeks to 1 month,taurus,flake,,,fermenting,fermenting,[FERMENTING PROCESS-FOODON_00001304]
reduced,[REDUCING PROCESS],,,curing or aging 4 to 6 months,textered,flatwhiskered,,,filling,filled,[FILLING PROCESS-FOODON_03460207]
reducing,[REDUCING PROCESS],,,curing or aging 6 to 12 months,texturized,flavored,,,flavoring,flavored,[FLAVORING PROCESS-FOODON_03460228]
reisolated,[REISOLATING PROCESS],,,curing or aging less than 2 weeks,toasted,flour,,,toasting,toasted,[food toasting process:FOODON_03450010]
reisolating,[ISOLATING PROCESS],,,curing or aging process,treated,fluid,,,treatment,treated,[food treatment process:FOODON_03460111]
rinsed,[RINSING PROCESS],,,dairy product added,unsalted,flying,,,freezing,frozen,[FREEZING PROCESS-FOODON_03470136]
rinsing,[RINSING PROCESS],,,debittering process,winged,fried,,,grilling,grilled,[GRILLING PROCESS-FOODON_03450006]
roast,[ROASTING PROCESS],,,decaffeination process,wrapped,frilled,,,hydrolyzing,hydrolyzed,[HYDROLYZING PROCESS-FOODON_03460277]
roasted,[ROASTING PROCESS],,,deep-frying,,frozen,,,milling,milled,[MILLING PROCESS-FOODON_00002415]
roasting,[ROASTING PROCESS],,,definition,,gecko,,,pasteurizing,pasteurized,[PASTEURIZING PROCESS-FOODON_03470135]
rubbed,[RUBBING PROCESS],,,definition,,gekko,,,pasturizing,pasturized,[PASTURIZING PROCESS-FOODON_03470135]
rubbing,[RUBBING PROCESS],,,definition,,generated,,,peeling,peeled,[PEELING PROCESS-FOODON_03000001]
salted,[SALTING PROCESS],,,definition source,,goose,,,pickling,,[PICKLING PROCESS-FOODON_03460190]
salting,[SALTING PROCESS],,,definition_editor,,grass,,,puffing,puffed,[PUFFING PROCESS-FOODON_03460268]
scaled,[SCALING PROCESS],,,demineralizing process,,grated,,,smoking,smoked,[SMOKING PROCESS-FOODON_03470106]
scaling,[SCALING PROCESS],,,dextrose added,,grazing,,,spicing,spiced,[SPICING PROCESS-FOODON_03460151]
seasoned,[SEASONING PROCESS],,,d-glucurono-gamma-lactone added,,grilled,,,steaming,steamed,[STEAMING PROCESS-FOODON_03450021]
seasoning,[SEASONING PROCESS],,,dilution process to 15-49% of single strength,,gutted,,,stuffing,stuffed,[STUFFING PROCESS-FOODON_03460207]
shake,[SHAKING PROCESS],,,,,,,,,,
shaking,[SHAKING PROCESS],,,,,,,,,,
shelled,[SHELLING PROCESS],,,,,,,,,,
shelling,[SHELLING PROCESS],,,,,,,,,,
shoildried,[SHOILDRYING PROCESS],,,,,,,,,,
shoildrying,[SHOILDRYING PROCESS],,,,,,,,,,
shredded,[SHREDDING PROCESS],,,,,,,,,,
shredding,[SHREDDING PROCESS],,,,,,,,,,
sliced,[SLICING PROCESS],,,,,,,,,,
slicing,[SLICING PROCESS],,,,,,,,,,
specified,[SPECIFYING PROCESS],,,,,,,,,,
specifying,[SPECIFYING PROCESS],,,,,,,,,,
speckled,[SPECKLING PROCESS],,,,,,,,,,
speckling,[SPECKLING PROCESS],,,,,,,,,,
sprouted,[SPROUTING PROCESS],,,,,,,,,,
sprouting,[SPROUTING PROCESS],,,,,,,,,,
squeezed,[SQUEEZING PROCESS],,,,,,,,,,
squeezing,[SQUEEZING PROCESS],,,,,,,,,,
stewed,[STEWING PROCESS],,,,,,,,,,
stewing,[STEWING PROCESS],,,,,,,,,,
striped,[STRIPING PROCESS],,,,,,,,,,
striping,[STRIPING PROCESS],,,,,,,,,,
swabbing,[SWABBING PROCESS],,,,,,,,,,
textered,[TEXTERING PROCESS],,,,,,,,,,
textering,[TEXTERING PROCESS],,,,,,,,,,
undiluted,[UNDILUTING PROCESS],,,,,,,,,,
undiluting,[UNDILUTING PROCESS],,,,,,,,,,
vacuum packed,[VACUUM PACKING PROCESS],,,,,,,,,,
vacuum-packed,[VACUUM PACKING PROCESS],,,,,,,,,,
whipped,[WHIPPING PROCESS],,,,,,,,,,
whipping,[WHIPPING PROCESS],,,,,,,,,,
wrapped,[WRAPPING PROCESS],,,,,,,,,,
wrapping,[WRAPPING PROCESS],,,,,,,,,,
soaked,[SOAKING PROCESS],,,,,,,,,,
soaking,[SOAKING PROCESS],,,,,,,,,,
deep fried,[DEEP FRYING PROCESS],,,,,,,,,,
cold brewed,[COLD BREWING PROCESS],,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,dilution process to 50-99% of single strength,,haden,,,texturizing,texturized,[TEXTURIZING PROCESS-FOODON_03460192]
,,,,disinfection by irradiation,,heifer,,,,,
,,,,double steaming,,herring,,,,,
,,,,dried or candied fruit added,,hing,,,,,
,,,,drum-drying,,hlso,,,,,
,,,,drying by infrared heat radiation,,hospitalized,,,,,
,,,,drying by microwave radiation,,huiled,,,,,
,,,,drying by radiation,,hulled,,,,,
,,,,drying under normal pressure,,hydrolyzed,,,,,
,,,,drying under over pressure,,iguana,,,,,
,,,,drying under reduced pressure,,ileum,,,,,
,,,,editor preferred label,,imported,,,,,
,,,,editor preferred label,,insect,,,,,
,,,,editor preferred term,,intestin,,,,,
,,,,editor preferred term,,intestine,,,,,
,,,,editor preferred term~editor preferred label,,iqf,,,,,
,,,,energy derivation by oxidation of organic compounds,,isolated,,,,,
,,,,entity,,kadhai,,,,,
,,,,enzymatic modification process,,king,,,,,
,,,,fat or oil added,,kingfish,,,,,
,,,,fat or oil coated,,kitten,,,,,
,,,,fat removal process,,lake,,,,,
,,,,fat substitution process,,lama,,,,,
,,,,fermentation/modification process,,laying,,,,,
,,,,"fermentation/modification process, multiple component",,lecithin,,,,,
,,,,"fermentation/modification process, single component",,left,,,,,
,,,,filling conditions for pasteurization,,lntestine,,,,,
,,,,fish oil added,,lntnestine,,,,,
,,,,"flavoring added, artificial",,loligo,,,,,
,,,,flavoring or spice extract or concentrate added,,lung,,,,,
,,,,flavoring or taste ingredient added,,lymph,,,,,
,,,,"flavoring, spice or herb added",,made,,,,,
,,,,"flavoring, spice or herb added, natural",,marinated,,,,,
,,,,flaxseed oil added,,med,,,,,
,,,,fluoride added,,methi,,,,,
,,,,food added,,milk,,,,,
,,,,"food additive added, usa",,milkfish,,,,,
,,,,food aeration by creaming,,milled,,,,,
,,,,food aeration by whipping,,minced,,,,,
,,,,food aeration process,,missing,,,,,
,,,,food alkalization process,,mix,,,,,
,,,,food animal rendering process,,mixed,,,,,
,,,,food baking process,,murine,,,,,
,,,,food bleaching process,,necked,,,,,
,,,,food bromination process,,ocellated,,,,,
,,,,food canning process,,oconee,,,,,
,,,,food coating or covering process,,opened,,,,,
,,,,food cooking process,,ostrich,,,,,
,,,,food distillation process,,ovi,,,,,
,,,,food evaporation process,,ovine,,,,,
,,,,food extrusion process,,packaged,,,,,
,,,,food filling process,,packed,,,,,
,,,,food filling product,,painting,,,,,
,,,,food flaking process,,paneer,,,,,
,,,,food flattening process,,pasteurized,,,,,
,,,,food homogenization or emulsification process,,pasturized,,,,,
,,,,food hydrogenation proess,,peeled,,,,,
,,,,food hydrolyzation process,,pickling,,,,,
,,,,food ionizing irradiation process,,placentum,,,,,
,,,,food irradiation process,,pogona,,,,,
,,,,food meat liquid injection process,,pooled,,,,,
,,,,food micro-encapsulation process,,powder,,,,,
,,,,food milling process,,powdered,,,,,
,,,,food modification process,,pre,,,,,
,,,,food parboiling process (grain),,primigeniu,,,,,
,,,,food peeling process,,Process finished with exit code 0,,,,,
,,,,food phosphating process,,processed,,,,,
,,,,food physical forming process,,purpose,,,,,
,,,,food preservation process,,python,,,,,
,,,,food product type,,r,,,,,
,,,,food product type (to be processed),,radish,,,,,
,,,,food puffing process,,railing,,,,,
,,,,food reheating,,raised,,,,,
,,,,food reheating by boil-in-bag,,rasied,,,,,
,,,,food reheating by dry heat,,rat,,,,,
,,,,food reheating by microwave,,raw,,,,,
,,,,food reheating in pan or cooking utensil,,rawhide,,,,,
,,,,food rolling process,,rectal,,,,,
,,,,food scalding or blanching,,red,,,,,
,,,,food solvent extraction process,,reisolated,,,,,
,,,,food texturing process,,reptile,,,,,
,,,,food thawing process,,reticulated,,,,,
,,,,food toasting process,,ring,,,,,
,,,,food treatment process,,roasted,,,,,
,,,,food ultraviolet radiation process,,rohu,,,,,
,,,,foodon product type,,rubbed,,,,,
,,,,freeze-drying,,ruman,,,,,
,,,,full alcohol removal process,,saging,,,,,
,,,,full fat removal process,,salmon,,,,,
,,,,fungivory,,salted,,,,,
,,,,gelatin added,,salut,,,,,
,,,,generation of precursor metabolites and energy,,sampling,,,,,
,,,,gluten added,,sapiens,,,,,
,,,,gluten removal process,,scaled,,,,,
,,,,grain added,,scallop,,,,,
,,,,griddle cooking,,scrofa,,,,,
,,,,guarana added,,seasoned,,,,,
,,,,gum added,,seasoning,,,,,
,,,,has curation status,,seaweed,,,,,
,,,,has input,,shad,,,,,
,,,,hemicellulose added,,shake,,,,,
,,,,herbivory,,shed,,,,,
,,,,heterotrophy,,shell,,,,,
,,,,high temperature short time (htst) pasteurization,,shelled,,,,,
,,,,higher heat shorter time (hhst) pasteurization,,shredded,,,,,
,,,,honey added,,sing,,,,,
,,,,imported from,,skin,,,,,
,,,,ingredient added (TO BE REVISED),,sliced,,,,,
,,,,ingredient preservation by heat treatment,,smoked,,,,,
,,,,ingredient preservation by irradiation,,snack,,,,,
,,,,instantizing process,,snake,,,,,
,,,,interior bacteria curing process,,snow,,,,,
,,,,interior mold curing process,,solid,,,,,
,,,,iodized,,soy,,,,,
,,,,iron added,,spain,,,,,
,,,,lactic acid fermentation process,,specified,,,,,
,,,,lactic acid-other agent fermentation process,,speckled,,,,,
,,,,lactose conversion process,,spiced,,,,,
,,,,lactose removal process,,spleen,,,,,
,,,,leavening agent added,,spotted,,,,,
,,,,lipolytic fermentation process,,spread,,,,,
,,,,lithotrophy,,sprouted,,,,,
,,,,low-temperature-long-time (ltlt) pasteurization,,squeezed,,,,,
,,,,magnesium added,,standing,,,,,
,,,,manganese added,,steamed,,,,,
,,[food treatment process:FOODON_03460111],,margarine added,,sting,,,,,
,,,,marinading process,,string,,,,,
,,,,material entity,,striped,,,,,
,,,,metabolic process,,stuffed,,,,,
,,,,microbial gum added,,sus,,,,,
,,,,microbial/enzymatic modification process,,swab,,,,,
,,,,microcrystalline cellulose added,,swabbing,,,,,
,,,,milk (protein added),,tahini,,,,,
,,,,mineral added,,tauras,,,,,
,,,,molasses added,,taurus,,,,,
,,,,mold curing process,,textered,,,,,
,,,,molybdenum added,,texturized,,,,,
,,,,natural heat drying,,thorax,,,,,
,,,,noncertified color added,,tissue,,,,,
,,,,nonnutritive sweetener added,,toasted,,,,,
,,,,nut or seed added,,tomato,,,,,
,,,,nutrient or dietary substance added,,treated,,,,,
,,,,nutritive sweetener added,,typhoid,,,,,
,,,,osmotic dehydration,,unsalted,,,,,
,,,,oxidation-reduction process,,urine,,,,,
,,,,partial alcohol removal process,,used,,,,,
,,,,partial fat removal process,,uteru,,,,,
,,,,"partial fat removal process, 50% or more remaining",,vacuum,,,,,
,,,,"partial fat removal process, less than 50% remaining",,walking,,,,,
,,,,pasteurization by heating,,wheat,,,,,
,,,,pasteurization by irradiation,,whole,,,,,
,,,,pectin added,,wild,,,,,
,,,,pending final vetting,,winged,,,,,
,,,,peservation by heat drying,,winneckei,,,,,
,,,,phosphorus added,,wrapped,,,,,
,,,,photoautotrophy,,,,,,,
,,,,photosynthesis,,,,,,,
,,,,phototrophy,,,,,,,
,,,,physical/chemical modification process,,,,,,,
,,,,pickling process,,,,,,,
,,,,plant exudate gum added,,,,,,,
,,,,potassium added,,,,,,,
,,,,preservation by adding acid,,,,,,,
,,,,preservation by adding antibiotics,,,,,,,
,,,,preservation by adding chemicals,,,,,,,
,,,,preservation by adding inorganic acids or salts,,,,,,,
,,,,preservation by adding organic acids or salts,,,,,,,
,,,,preservation by adding spices or extracts,,,,,,,
,,,,preservation by adding sugar,,,,,,,
,,,,preservation by blanching,,,,,,,
,,,,preservation by brining,,,,,,,
,,,,preservation by chemicals,,,,,,,
,,,,preservation by chilling,,,,,,,
,,,,preservation by chilling or freezing,,,,,,,
,,,,preservation by cryogenic freezing,,,,,,,
,,,,preservation by dehydration or drying,,,,,,,
,,,,preservation by dry salting,,,,,,,
,,,,preservation by electron accelerator radiation,,,,,,,
,,,,preservation by fermentation,,,,,,,
,,,,preservation by filtration,,,,,,,
,,,,preservation by freezing,,,,,,,
,,,,preservation by heat treatment,,,,,,,
,,,,preservation by ionizing radiation,,,,,,,
,,,,preservation by irradiation,,,,,,,
,,,,preservation by micro-filtration,,,,,,,
,,,,preservation by other method,,,,,,,
,,,,preservation by quick freezing,,,,,,,
,,,,preservation by reducing water activity,,,,,,,
,,,,preservation by salting,,,,,,,
,,,,preservation by slow freezing,,,,,,,
,,,,preservation by smoking,,,,,,,
,,,,preservation by sous vide,,,,,,,
,,,,preservation by storage in controlled atmosphere,,,,,,,
,,,,preservation by storage in inert atmosphere,,,,,,,
,,,,preservation by storage in modified atmosphere,,,,,,,
,,,,preservation by storage in refrigerating agent,,,,,,,
,,,,preservation by storage in vacuum,,,,,,,
,,,,preservation by treatment with chemicals,,,,,,,
,,,,preservation by ultra-filtration,,,,,,,
,,,,pressure frying,,,,,,,
,,,,process,,,,,,,
,,,,protein added,,,,,,,
,,,,protein removal process,,,,,,,
,,,,protein substitution process,,,,,,,
,,,,proteolytic fermentation process,,,,,,,
,,,,ready for release,,,,,,,
,,,,rehydration process,,,,,,,
,,,,requires discussion,,,,,,,
,,,,rind removal process,,,,,,,
,,,,roasting meat process,,,,,,,
,,,,roasting seed process,,,,,,,
,,,,rotisserie roasting,,,,,,,
,,,,rye malt added,,,,,,,
,,,,salt added,,,,,,,
,,,,salted,,,,,,,
,,,,sauteing,,,,,,,
,,,,searing,,,,,,,
,,,,seaweed extract added,,,,,,,
,,,,seed gum added,,,,,,,
,,,,selenium added,,,,,,,
,,,,shallow frying,,,,,,,
,,,,shelf-drying under normal pressure,,,,,,,
,,,,single-organism cellular process,,,,,,,
,,,,single-organism metabolic process,,,,,,,
,,,,single-organism process,,,,,,,
,,,,smoked by adding smoke concentrate,,,,,,,
,,,,smoked by smoke infiltration,,,,,,,
,,,,smoked or smoke-flavored,,,,,,,
,,,,sodium added,,,,,,,
,,,,sodium removal process,,,,,,,
